raw_idx,timestamp,log_key,content
0,2008-11-09 20:36:15,2,PacketResponder 1 for block blk_38865049064139660 terminating
1,2008-11-09 20:38:07,2,PacketResponder 0 for block blk_-6952295868487656571 terminating
2,2008-11-09 20:40:05,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864
3,2008-11-09 20:40:15,2,PacketResponder 2 for block blk_8229193803249955061 terminating
4,2008-11-09 20:41:06,2,PacketResponder 2 for block blk_-6670958622368987959 terminating
5,2008-11-09 20:41:32,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864
6,2008-11-09 20:43:24,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864
7,2008-11-09 20:44:53,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864
8,2008-11-09 20:45:25,2,PacketResponder 2 for block blk_572492839287299681 terminating
9,2008-11-09 20:46:55,3,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84
10,2008-11-09 20:47:22,3,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112
11,2008-11-09 20:48:15,4,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010
12,2008-11-09 20:48:42,4,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010
13,2008-11-09 20:49:08,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864
14,2008-11-09 20:49:25,4,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010
15,2008-11-09 20:50:35,7,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100
16,2008-11-09 20:50:56,2,PacketResponder 1 for block blk_5017373558217225674 terminating
17,2008-11-09 20:51:57,3,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1
18,2008-11-09 20:53:15,7,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
19,2008-11-09 20:54:09,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864
20,2008-11-09 20:54:12,3,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229
21,2008-11-09 20:56:32,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864
22,2008-11-09 20:57:39,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864
23,2008-11-09 20:57:42,3,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211
24,2008-11-09 20:57:46,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864
25,2008-11-09 20:57:49,4,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010
26,2008-11-09 20:57:54,3,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155
27,2008-11-09 20:58:58,7,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435
28,2008-11-09 20:59:31,10,Verification succeeded for blk_-4980916519894289629
29,2008-11-09 21:00:22,3,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180
30,2008-11-09 21:00:37,4,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010
31,2008-11-09 21:02:48,3,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203
32,2008-11-09 21:04:07,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864
33,2008-11-09 21:04:58,4,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010
34,2008-11-09 21:05:51,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864
35,2008-11-09 21:06:37,3,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80
36,2008-11-09 21:06:56,3,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83
37,2008-11-09 21:07:12,3,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225
38,2008-11-09 21:07:43,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864
39,2008-11-09 21:08:01,4,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010
40,2008-11-09 21:08:07,3,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79
41,2008-11-09 21:08:12,3,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33
42,2008-11-09 21:09:21,4,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010
43,2008-11-09 21:09:35,3,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214
44,2008-11-09 21:10:29,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864
45,2008-11-09 21:10:38,2,PacketResponder 1 for block blk_-5073870177832699716 terminating
46,2008-11-09 21:12:16,3,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161
47,2008-11-09 21:13:01,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864
48,2008-11-09 21:13:53,2,PacketResponder 0 for block blk_7791237942696729620 terminating
49,2008-11-09 21:14:03,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917
50,2008-11-09 21:14:53,3,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242
51,2008-11-09 21:15:28,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864
52,2008-11-09 21:16:17,2,PacketResponder 1 for block blk_-1527267659500322006 terminating
53,2008-11-09 21:19:18,2,PacketResponder 1 for block blk_4886940526690879848 terminating
54,2008-11-09 21:20:29,3,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244
55,2008-11-09 21:22:19,2,PacketResponder 0 for block blk_-4229375751333894621 terminating
56,2008-11-09 21:22:20,4,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010
57,2008-11-09 21:22:45,7,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775
58,2008-11-09 21:23:17,7,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691
59,2008-11-09 21:23:38,3,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67
60,2008-11-09 21:24:03,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864
61,2008-11-09 21:24:40,1,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864
62,2008-11-09 21:27:03,3,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191
63,2008-11-09 21:29:04,3,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211
64,2008-11-09 21:29:31,3,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175
65,2008-11-09 21:30:09,3,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97
66,2008-11-09 21:30:28,3,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5
67,2008-11-09 21:32:17,2,PacketResponder 0 for block blk_-5852844080027817147 terminating
